GeneSymbol	TW-20250618	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9
LMAN1	11.6288349649845	19.50218043628	18.4016895358871	15.4812249312394	17.0630802130268	19.3860077610127	18.4156480905003	14.613766752488	21.2248685615332	18.422846696736
LMAN2	102.506026728382	91.704909532431	98.6875794369058	83.0356609948298	98.4512644037342	96.1387731821652	95.1475151342516	83.9672360863296	98.8381938984829	80.4314526516035
LMAN2L	9.47534700850588	7.74132353195846	8.72376392812427	10.0527434618438	9.885752821833	9.36330987096534	8.40012018163172	10.8984023238894	12.5131687788143	6.59028662322263
LMBR1	24.1190651125604	33.9427262555102	37.2123055059051	29.152956039347	32.5011051676701	29.2768280472437	28.7542575448163	27.4936967716301	25.8183102651486	35.4976802205401
LMBR1L	25.6265066820954	23.521713808643	26.5802182185036	23.9255294391882	18.5527141998784	27.9580520090796	19.3848927268424	20.8060408001525	19.1657395219815	18.7224051796098
LMBRD1	54.4832452989088	48.3832720747404	51.6610395118609	50.6658270476927	51.5955044536764	43.1239764479671	45.7160386808034	46.3182098765299	61.9322657280558	56.3169947802661
LMBRD2	21.5348795647861	19.9487952554314	23.8540419909648	14.8780603235288	17.8756078422186	21.6279270258918	19.7079742722898	25.759860038284	18.0569777314536	27.5593804243856
LMF1	5.81441748249224	6.10373586173648	7.90591105986262	8.84641424642254	5.14600831821444	6.59388019082066	6.46163090894748	4.95381923813154	3.32628537158356	3.29514331161132
LMF2	18.519996425716	25.159301478865	25.4897477274881	26.7402976085045	31.6885775384784	26.6392759709155	29.5619614084347	27.7413877335366	26.1350993481565	18.5726259381729
LMLN	8.18325423461872	5.35937782981739	8.04221987123956	5.8305912078694	6.22937849047011	5.93449217173859	5.33084549988167	7.92611078101047	7.76133253369497	6.59028662322263
LMNA	18.519996425716	8.48568156387754	8.45114630537038	12.0632921542126	10.9691229940887	7.64890102135197	16.9617811359871	15.6045306001144	11.2460124467825	5.24227345029073
LMNB1	23.6883675212647	24.1172002341783	33.2593499759738	20.3065417929245	24.5112501472846	25.5842551403842	22.9387897267635	21.7968046477788	14.5722978183661	17.224612765241
LMNB2	6.67581266508369	8.18793835110991	7.36067581435485	10.0527434618438	10.9691229940887	10.6820859091295	7.91549786346066	6.93534693338416	6.96935982617508	3.89426027735883
LMO2	1.29209277388717	1.48871606383817	0.545235245507767	0.804219476947504	0.541685086127836	0.131877603816413	1.13078540906581	0.495381923813154	0.475183624511937	0.449337724310634
LMO4	24.1190651125604	27.9878620001575	26.8528358412575	23.9255294391882	21.3965609020495	23.3423358755051	20.6772189086319	18.5768221429933	26.4518884311645	16.1761580751828
LMO7	6.89116146073155	14.8871606383816	13.4945723263172	15.0791151927657	13.271284610132	13.5833931930906	11.3078540906581	12.3845480953289	12.3547742373104	16.7752750409303
LMOD1	0	0.744358031919083	0.136308811376942	1.80949382313188	0	0.659388019082066	0.323081545447374	2.47690961906577	1.26715633203183	2.09690938011629
LMTK2	39.6241783992064	51.3607042024167	38.9843200538053	41.6183579320333	42.3868579895031	44.8383852975805	39.9005708627507	31.7044431240419	38.014689960955	27.5593804243856
LMTK3	3.23023193471791	4.4661481915145	5.17973483232378	5.62953633863253	4.19805941749073	5.80261456792218	6.78471245439485	3.71536442859866	2.21752358105571	2.84580558730068
LNPEP	4.73767350425294	0.744358031919083	1.77201454790024	1.40738408465813	1.21879144378763	0.527510415265653	1.61540772723687	1.23845480953289	1.10876179052785	1.19823393149502
LNX2	7.32185905202727	13.6961877873111	20.991556952049	17.6928284928451	24.1049863326887	17.539721307583	26.1696051812373	26.0075510001906	17.4233995654377	28.6078351144437
HAVCR1P1	0.430697591295722	1.19097285107053	0.954161679638592	0.402109738473752	0.541685086127836	0.659388019082066	0.969244636342122	0.495381923813154	1.10876179052785	1.3480131729319
LOC100127983	12.0595325562802	4.16840497874686	6.27020532333932	6.63481068481691	2.57300415910722	4.87947134120729	2.74619313630268	4.70612827622497	6.65257074316712	2.39646786299005
LOC100128071	1.29209277388717	1.04210124468672	0.81785286826165	0.804219476947504	0.947948900723713	2.11004166106261	1.2923261817895	0.743072885719731	0.791972707519895	0.299558482873756
LOC100128398	0	0.44661481915145	0	0.603164607710628	0.947948900723713	0.263755207632826	0.807703863618435	0.495381923813154	1.74233995654377	0.599116965747512
LOC100128531	0.215348795647861	0.44661481915145	0.272617622753883	0.201054869236876	0	1.05502083053131	0.323081545447374	0	0.475183624511937	0.149779241436878
LOC100128573	6.24511507378797	6.10373586173648	5.58866126645461	5.62953633863253	6.09395721893815	6.33012498318783	6.46163090894748	4.70612827622497	1.26715633203183	2.24668862155317
